DATE,TEMPERATURE,WINDSPEED,HUMIDITY,PRECIPITATION
2009-01-01,14,8,90,0.5
2009-01-02,10,14,91,16.3
2009-01-03,10,22,89,2.8
2009-01-04,9,14,85,0.1
2009-01-05,12,15,73,0
2009-01-06,10,12,84,2.5
2009-01-07,11,23,91,6.9
2009-01-08,8,8,88,2
2009-01-09,12,17,90,5.2
2009-01-10,12,16,89,2.8
2009-01-11,12,14,86,0.4
2009-01-12,13,14,91,0
2009-01-13,14,17,91,8.6
2009-01-14,12,18,87,9.7
2009-01-15,10,15,85,1.2
2009-01-16,11,9,89,0.3
2009-01-17,13,8,89,0
2009-01-18,15,15,84,0.2
2009-01-19,15,27,94,4.9
2009-01-20,14,36,96,41.4
2009-01-21,11,22,80,0.2
2009-01-22,10,19,79,0.3
2009-01-23,16,19,96,13.1
2009-01-24,17,37,93,26.9
2009-01-25,8,18,88,7.7
2009-01-26,12,27,92,23.4
2009-01-27,9,31,90,20
2009-01-28,10,15,84,0.5
2009-01-29,12,10,85,0
2009-01-30,13,9,86,0
2009-01-31,13,12,86,0.3
2009-02-01,12,12,89,5.8
2009-02-02,13,22,90,5
2009-02-03,16,18,90,14.1
2009-02-04,13,19,88,19.2
2009-02-05,15,22,93,6.6
2009-02-06,15,30,92,7.3
2009-02-07,12,25,90,14.8
2009-02-08,8,22,85,2.8
2009-02-09,10,21,83,0.7
2009-02-10,15,27,94,2.5
2009-02-11,10,40,80,10.6
2009-02-12,10,18,64,2.6
2009-02-13,7,25,74,7.8
2009-02-14,8,12,52,0.5
2009-02-15,8,17,58,0
2009-02-16,9,8,65,0
2009-02-17,11,18,70,0
2009-02-18,9,20,88,0.5
2009-02-19,10,13,80,0
2009-02-20,9,12,73,0
2009-02-21,12,10,84,0
2009-02-22,13,15,81,0
2009-02-23,16,12,87,0.9
2009-02-24,12,17,85,1
2009-02-25,9,23,80,0.6
2009-02-26,12,19,79,0.3
2009-02-27,16,15,85,0.1
2009-02-28,15,14,85,0
2009-03-01,14,13,91,7.3
2009-03-02,13,13,95,21
2009-03-03,15,15,91,0.8
2009-03-04,16,30,95,37.8
2009-03-05,12,41,94,23
2009-03-06,10,22,84,2.9
2009-03-07,11,22,76,0.2
2009-03-08,14,19,76,0
2009-03-09,14,38,74,0
2009-03-10,14,24,73,0.5
2009-03-11,15,22,82,0.8
2009-03-12,14,12,76,0
2009-03-13,16,22,80,0
2009-03-14,16,14,93,0
2009-03-15,16,7,92,0
2009-03-16,14,16,87,1.4
2009-03-17,17,10,72,0
2009-03-18,18,10,64,0
2009-03-19,18,17,86,0.1
2009-03-20,11,32,88,6.4
2009-03-21,10,28,63,0.2
2009-03-22,13,21,53,0.1
2009-03-23,16,18,79,0
2009-03-24,18,53,70,0.5
2009-03-25,13,23,68,0.5
2009-03-26,14,24,72,0
2009-03-27,17,20,93,0
2009-03-28,18,18,89,7.1
2009-03-29,16,34,97,23.2
2009-03-30,14,12,86,1.8
2009-03-31,17,17,96,26.7
2009-04-01,15,16,93,15.4
2009-04-02,13,12,89,6.7
2009-04-03,14,10,92,3.6
2009-04-04,17,11,91,0.6
2009-04-05,17,10,87,1.2
2009-04-06,18,10,89,0.4
2009-04-07,19,11,84,0
2009-04-08,15,10,95,3
2009-04-09,18,13,90,12.4
2009-04-10,20,9,85,0.1
2009-04-11,18,23,84,1.9
2009-04-12,17,15,93,13.2
2009-04-13,18,20,70,0.1
2009-04-14,18,15,89,1.2
2009-04-15,20,13,79,0.3
2009-04-16,16,23,92,9.6
2009-04-17,16,21,88,4
2009-04-18,16,9,85,3.8
2009-04-19,15,9,84,4.2
2009-04-20,17,8,88,3.1
2009-04-21,19,24,89,4.5
2009-04-22,19,24,84,3.4
2009-04-23,22,13,73,0
2009-04-24,17,13,87,6.5
2009-04-25,20,21,90,0.2
2009-04-26,20,18,96,22.2
2009-04-27,16,29,95,27.5
2009-04-28,17,29,84,7.6
2009-04-29,16,34,79,2.7
2009-04-30,18,20,71,0.1
2009-05-01,19,13,69,0.1
2009-05-02,22,13,69,0
2009-05-03,21,13,85,4.3
2009-05-04,21,14,65,0
2009-05-05,20,13,81,0.7
2009-05-06,21,11,77,0
2009-05-07,21,13,80,0
2009-05-08,23,8,70,0
2009-05-09,23,11,66,0
2009-05-10,23,14,64,0
2009-05-11,25,8,71,0
2009-05-12,26,9,62,0
2009-05-13,26,9,58,0
2009-05-14,23,9,82,3.6
2009-05-15,22,11,90,14.1
2009-05-16,22,15,87,4.4
2009-05-17,24,9,74,0
2009-05-18,24,10,74,0
2009-05-19,25,10,65,0
2009-05-20,27,6,63,0
2009-05-21,28,10,78,0
2009-05-22,26,15,77,0
2009-05-23,26,10,71,0
2009-05-24,28,12,60,0
2009-05-25,29,8,70,0
2009-05-26,28,16,73,2.4
2009-05-27,24,17,85,0
2009-05-28,26,12,85,0.5
2009-05-29,26,13,76,0
2009-05-30,24,11,86,6.5
2009-05-31,26,8,90,0.9
2009-06-01,20,21,90,8.8
2009-06-02,22,24,82,6.4
2009-06-03,25,19,84,0
2009-06-04,25,23,92,0
2009-06-05,27,18,86,0.4
2009-06-06,25,23,90,0.5
2009-06-07,22,20,92,4.9
2009-06-08,24,14,91,0
2009-06-09,23,18,87,0
2009-06-10,24,15,90,0
2009-06-11,26,18,83,0
2009-06-12,27,13,89,0
2009-06-13,27,13,89,0
2009-06-14,28,6,91,0
2009-06-15,29,12,79,0
2009-06-16,30,10,79,0
2009-06-17,29,9,77,0
2009-06-18,30,10,81,0
2009-06-19,30,18,89,0
2009-06-20,27,20,89,0.1
2009-06-21,21,37,87,9.6
2009-06-22,24,11,78,2.8
2009-06-23,24,22,80,4.8
2009-06-24,25,17,71,0.7
2009-06-25,27,18,88,0
2009-06-26,26,18,86,0
2009-06-27,27,20,91,0.3
2009-06-28,26,17,89,0
2009-06-29,27,17,95,0
2009-06-30,28,10,93,0
2009-07-01,28,9,89,0.9
2009-07-02,29,15,91,0
2009-07-03,29,15,92,0
2009-07-04,30,16,94,0
2009-07-05,29,17,93,2.1
2009-07-06,28,19,93,0
2009-07-07,29,18,85,0
2009-07-08,26,26,76,0
2009-07-09,27,24,71,0
2009-07-10,26,24,76,0
2009-07-11,27,17,74,0
2009-07-12,26,15,74,0
2009-07-13,31,5,75,0
2009-07-14,32,18,64,0
2009-07-15,30,11,75,0
2009-07-16,34,6,80,0
2009-07-17,31,20,75,0
2009-07-18,24,39,63,0
2009-07-19,26,19,64,0
2009-07-20,27,16,77,0
2009-07-21,29,9,73,0
2009-07-22,33,11,61,0.2
2009-07-23,32,20,44,0
2009-07-24,33,17,68,0
2009-07-25,28,22,70,0
2009-07-26,30,10,68,0
2009-07-27,31,8,72,0
2009-07-28,30,13,58,0
2009-07-29,32,10,72,0
2009-07-30,31,13,71,0
2009-07-31,30,15,77,0
2009-08-01,30,11,73,0
2009-08-02,31,13,75,0
2009-08-03,27,18,79,0.1
2009-08-04,28,13,68,0
2009-08-05,30,14,65,0
2009-08-06,31,11,60,0
2009-08-07,31,10,70,0
2009-08-08,31,9,84,0
2009-08-09,31,4,79,0
2009-08-10,30,18,84,0
2009-08-11,28,16,83,0
2009-08-12,31,6,80,0
2009-08-13,31,8,77,0
2009-08-14,30,9,80,0
2009-08-15,33,8,76,0
2009-08-16,32,8,73,0
2009-08-17,32,15,76,0
2009-08-18,31,10,79,0
2009-08-19,33,5,80,0
2009-08-20,33,11,66,0
2009-08-21,33,12,72,0
2009-08-22,32,17,82,0
2009-08-23,31,14,83,0
2009-08-24,31,10,80,0
2009-08-25,31,7,81,0
2009-08-26,29,12,88,7.4
2009-08-27,29,8,87,3.2
2009-08-28,31,11,83,0
2009-08-29,29,19,86,0
2009-08-30,29,9,75,0
2009-08-31,29,6,90,0
2009-09-01,30,9,87,0
2009-09-02,31,13,82,0
2009-09-03,30,19,80,0
2009-09-04,28,19,79,0
2009-09-05,26,21,65,0
2009-09-06,26,18,82,0.6
2009-09-07,27,15,62,0
2009-09-08,28,15,64,0
2009-09-09,27,15,70,0.1
2009-09-10,26,13,71,1.5
2009-09-11,28,13,74,1.1
2009-09-12,28,13,74,2
2009-09-13,26,13,84,9.4
2009-09-14,25,21,87,10.7
2009-09-15,26,12,78,2
2009-09-16,22,22,90,37.1
2009-09-17,23,13,82,0.6
2009-09-18,25,13,82,3.2
2009-09-19,24,15,86,21.3
2009-09-20,22,10,88,15.8
2009-09-21,23,8,89,9.7
2009-09-22,23,16,88,10.4
2009-09-23,25,10,84,2.4
2009-09-24,26,17,84,1
2009-09-25,26,16,73,0
2009-09-26,26,11,76,0.2
2009-09-27,26,11,85,1.1
2009-09-28,26,8,85,1.2
2009-09-29,27,8,83,0
2009-09-30,27,8,81,0
2009-10-01,23,13,91,39.2
2009-10-02,24,13,89,6.5
2009-10-03,23,6,89,7.5
2009-10-04,24,17,92,3
2009-10-05,23,10,88,0
2009-10-06,25,9,84,0
2009-10-07,27,8,84,0
2009-10-08,29,10,80,0
2009-10-09,24,17,88,2.6
2009-10-10,22,19,90,16.1
2009-10-11,25,9,87,0.7
2009-10-12,26,38,80,0
2009-10-13,22,11,58,0
2009-10-14,21,8,76,0.4
2009-10-15,18,14,70,0.4
2009-10-16,17,14,72,0
2009-10-17,18,24,88,10.2
2009-10-18,16,19,75,3.5
2009-10-19,16,12,75,1.9
2009-10-20,18,17,74,0.1
2009-10-21,22,24,90,20.8
2009-10-22,20,23,84,55.9
2009-10-23,16,35,91,22.1
2009-10-24,20,27,70,0
2009-10-25,21,15,72,0
2009-10-26,21,9,85,0
2009-10-27,22,8,86,0
2009-10-28,22,13,86,0
2009-10-29,20,11,87,0
2009-10-30,20,7,91,0
2009-10-31,18,10,85,0
2009-11-01,19,10,85,0
2009-11-02,19,29,94,24.2
2009-11-03,18,48,87,10
2009-11-04,18,25,88,13.2
2009-11-05,17,24,82,10.2
2009-11-06,16,23,83,11.3
2009-11-07,17,29,82,15.4
2009-11-08,15,33,88,15.6
2009-11-09,13,6,82,7.2
2009-11-10,15,20,82,1.5
2009-11-11,16,12,84,0.1
2009-11-12,16,10,83,0
2009-11-13,17,13,91,0
2009-11-14,19,14,91,0
2009-11-15,20,14,89,0
2009-11-16,21,17,87,0
2009-11-17,21,13,89,0
2009-11-18,20,13,65,0
2009-11-19,20,13,72,0
2009-11-20,19,14,80,0
2009-11-21,20,5,81,0
2009-11-22,22,13,87,0
2009-11-23,18,29,79,0.1
2009-11-24,17,29,80,0.1
2009-11-25,18,11,90,0
2009-11-26,18,19,90,0.3
2009-11-27,17,12,86,3.1
2009-11-28,15,22,82,6.6
2009-11-29,20,23,84,0.1
2009-11-30,17,40,93,37.7
2009-12-01,12,21,80,7
2009-12-02,13,10,81,0
2009-12-03,15,20,87,6.4
2009-12-04,14,42,86,26.3
2009-12-05,12,17,77,0.2
2009-12-06,15,13,89,0.1
2009-12-07,16,18,94,0.3
2009-12-08,16,29,94,3.2
2009-12-09,14,19,82,0
2009-12-10,16,10,79,0
2009-12-11,18,12,87,0
2009-12-12,15,5,72,1.2
2009-12-13,11,18,91,12
2009-12-14,12,29,90,6.5
2009-12-15,11,26,85,1.6
2009-12-16,9,22,87,1.6
2009-12-17,9,23,86,12.5
2009-12-18,11,27,78,11.9
2009-12-19,7,22,76,5
2009-12-20,6,10,77,3.6
2009-12-21,15,28,79,7.3
2009-12-22,16,33,93,47.3
2009-12-23,16,26,89,18.7
2009-12-24,17,27,96,32.5
2009-12-25,16,31,93,19.6
2009-12-26,14,17,90,21.1
2009-12-27,12,32,82,0.5
2009-12-28,15,21,92,2
2009-12-29,15,16,96,3.3
2009-12-30,17,26,95,4.1
2009-12-31,17,23,96,32.2
2010-01-01,14,44,90,53
2010-01-02,10,41,62,2.6
2010-01-03,10,8,55,0
2010-01-04,13,23,94,10.6
2010-01-05,16,24,96,43.6
2010-01-06,10,19,89,9.2
2010-01-07,13,20,81,2.5
2010-01-08,14,29,95,28.9
2010-01-09,10,33,93,15.7
2010-01-10,6,26,91,8.8
2010-01-11,9,5,85,0.7
2010-01-12,9,13,83,0.3
2010-01-13,9,27,92,28.1
2010-01-14,11,23,90,9.5
2010-01-15,11,15,92,15.3
2010-01-16,11,12,86,0.2
2010-01-17,12,14,95,3.2
2010-01-18,11,10,90,2.2
2010-01-19,13,11,90,0
2010-01-20,13,14,93,3.7
2010-01-21,10,27,89,10.2
2010-01-22,11,7,85,0.5
2010-01-23,10,12,84,0
2010-01-24,12,9,86,0
2010-01-25,10,14,93,10.3
2010-01-26,11,18,90,4.9
2010-01-27,11,28,89,4.5
2010-01-28,14,24,83,0
2010-01-29,11,22,87,1.7
2010-01-30,11,33,89,18
2010-01-31,8,31,62,0.5
2010-02-01,8,14,57,0
2010-02-02,7,22,74,0
2010-02-03,11,22,88,2.2
2010-02-04,15,14,88,0
2010-02-05,14,27,97,16.4
2010-02-06,12,35,81,3
2010-02-07,12,15,87,2
2010-02-08,13,9,86,0
2010-02-09,11,26,90,20.5
2010-02-10,9,34,91,19.2
2010-02-11,8,28,85,1.1
2010-02-12,5,30,89,16.5
2010-02-13,8,14,88,0
2010-02-14,9,13,78,1.9
2010-02-15,9,13,85,0.8
2010-02-16,14,17,92,11
2010-02-17,13,24,94,29.4
2010-02-18,13,23,93,21.2
2010-02-19,17,47,95,59.7
2010-02-20,10,45,74,0.6
2010-02-21,12,21,81,0.9
2010-02-22,13,17,95,9
2010-02-23,15,27,93,20.1
2010-02-24,14,19,92,4.9
2010-02-25,16,20,85,0
2010-02-26,15,31,92,4.3
2010-02-27,14,11,77,0.2
2010-02-28,16,26,86,1.7
2010-03-01,14,16,94,3.6
2010-03-02,15,18,83,1.2
2010-03-03,19,30,83,9.9
2010-03-04,12,35,92,30.1
2010-03-05,11,18,87,3.7
2010-03-06,11,12,72,0.3
2010-03-07,10,14,76,0.5
2010-03-08,10,27,78,7.2
2010-03-09,8,35,92,49.4
2010-03-10,7,23,88,10.3
2010-03-11,7,20,90,9.6
2010-03-12,9,13,85,1.9
2010-03-13,10,9,83,0.2
2010-03-14,13,13,84,0
2010-03-15,14,16,89,0.5
2010-03-16,14,16,82,0.3
2010-03-17,13,14,84,0
2010-03-18,16,12,76,0
2010-03-19,17,12,84,0
2010-03-20,18,16,84,0
2010-03-21,15,12,84,3.2
2010-03-22,19,13,93,1.5
2010-03-23,16,9,92,1.9
2010-03-24,18,12,91,0
2010-03-25,18,19,88,0
2010-03-26,17,24,96,0.2
2010-03-27,16,30,77,2.3
2010-03-28,16,23,82,0.7
2010-03-29,19,10,77,0
2010-03-30,17,32,95,5.9
2010-03-31,14,28,70,0.4
2010-04-01,14,24,87,1.4
2010-04-02,14,21,72,0
2010-04-03,16,15,88,0
2010-04-04,17,19,84,8
2010-04-05,14,26,78,3.5
2010-04-06,18,12,77,0
2010-04-07,19,17,67,0
2010-04-08,12,18,89,25.2
2010-04-09,16,14,84,1.3
2010-04-10,20,12,68,0
2010-04-11,18,21,91,5.6
2010-04-12,15,18,84,0.4
2010-04-13,14,8,79,0.3
2010-04-14,16,12,82,0
2010-04-15,17,11,77,0
2010-04-16,17,13,77,0.3
2010-04-17,18,13,81,3
2010-04-18,17,10,87,0.2
2010-04-19,17,18,77,0
2010-04-20,18,17,91,0
2010-04-21,20,13,85,0
2010-04-22,22,18,71,5.5
2010-04-23,17,12,96,50.5
2010-04-24,17,18,94,12.7
2010-04-25,19,14,88,1.1
2010-04-26,22,12,75,0
2010-04-27,21,10,84,2.1
2010-04-28,22,6,90,1.8
2010-04-29,23,10,69,0
2010-04-30,22,10,76,0
2010-05-01,21,10,81,3.6
2010-05-02,19,16,96,13.8
2010-05-03,21,12,85,0.7
2010-05-04,18,34,94,7.6
2010-05-05,16,16,90,10.4
2010-05-06,14,20,90,14.1
2010-05-07,15,17,87,2.8
2010-05-08,17,16,84,1.4
2010-05-09,21,13,80,0
2010-05-10,22,18,82,0.6
2010-05-11,21,24,89,7.6
2010-05-12,19,18,88,8.7
2010-05-13,18,19,90,10.7
2010-05-14,18,14,90,8.4
2010-05-15,16,33,90,16.7
2010-05-16,16,25,85,7.3
2010-05-17,18,15,78,0.7
2010-05-18,22,14,76,0
2010-05-19,21,19,88,12.3
2010-05-20,20,15,75,0.2
2010-05-21,23,14,63,0
2010-05-22,24,11,70,0
2010-05-23,25,8,75,0
2010-05-24,24,9,73,0
2010-05-25,24,10,75,0
2010-05-26,26,10,55,0
2010-05-27,24,15,88,0
2010-05-28,20,9,88,3.7
2010-05-29,22,14,88,0
2010-05-30,24,21,90,0
2010-05-31,24,34,86,0.4
2010-06-01,23,14,83,0
2010-06-02,23,15,82,3.5
2010-06-03,24,14,87,0.5
2010-06-04,24,12,88,0.3
2010-06-05,26,9,86,0
2010-06-06,27,10,86,0
2010-06-07,26,18,85,0
2010-06-08,27,6,89,0
2010-06-09,28,22,67,0.1
2010-06-10,25,21,75,0.1
2010-06-11,28,9,87,0
2010-06-12,25,13,92,0
2010-06-13,25,12,91,1.6
2010-06-14,26,10,91,1.3
2010-06-15,22,17,96,65.1
2010-06-16,22,19,93,10.3
2010-06-17,24,15,92,5.7
2010-06-18,23,20,83,0
2010-06-19,21,31,91,15.9
2010-06-20,19,26,80,1.1
2010-06-21,20,23,84,4
2010-06-22,20,8,82,6.9
2010-06-23,23,17,83,0
2010-06-24,24,12,86,0
2010-06-25,26,12,89,0
2010-06-26,25,12,89,0
2010-06-27,28,8,90,0
2010-06-28,28,12,86,0
2010-06-29,29,10,90,0
2010-06-30,28,11,94,0.1
2010-07-01,29,9,89,0
2010-07-02,30,10,86,0
2010-07-03,30,13,85,0
2010-07-04,30,16,83,0
2010-07-05,30,15,95,0
2010-07-06,30,9,93,0
2010-07-07,30,11,90,0
2010-07-08,31,8,89,0
2010-07-09,31,8,89,0
2010-07-10,31,12,87,0
2010-07-11,31,9,70,0
2010-07-12,32,12,74,0
2010-07-13,33,7,71,0
2010-07-14,32,7,73,0
2010-07-15,31,12,80,0
2010-07-16,32,13,78,0
2010-07-17,31,15,71,0
2010-07-18,31,20,61,0
2010-07-19,32,11,75,0
2010-07-20,31,14,74,0.4
2010-07-21,31,6,81,4.1
2010-07-22,32,9,75,0
2010-07-23,31,21,78,0
2010-07-24,29,24,63,0
2010-07-25,29,13,64,1.6
2010-07-26,27,11,67,6.8
2010-07-27,28,16,72,0.4
2010-07-28,29,12,78,0
2010-07-29,29,18,85,1.9
2010-07-30,26,14,76,10.3
2010-07-31,26,11,75,0.7
2010-08-01,28,7,76,0
2010-08-02,29,8,74,0.1
2010-08-03,28,19,84,2.9
2010-08-04,27,13,86,2.3
2010-08-05,26,28,87,0.3
2010-08-06,25,14,77,9.6
2010-08-07,26,12,78,0
2010-08-08,28,13,80,0
2010-08-09,28,14,84,0
2010-08-10,28,12,86,5.6
2010-08-11,28,13,84,0.7
2010-08-12,28,13,81,0.4
2010-08-13,27,11,85,9.2
2010-08-14,24,16,88,27
2010-08-15,25,15,77,0.2
2010-08-16,25,22,73,0
2010-08-17,26,15,77,0.2
2010-08-18,27,15,90,0
2010-08-19,28,10,79,0.8
2010-08-20,30,15,82,5.4
2010-08-21,31,10,83,0
2010-08-22,32,10,83,0
2010-08-23,30,12,85,0
2010-08-24,28,14,86,0
2010-08-25,29,13,85,0
2010-08-26,30,11,92,0
2010-08-27,31,17,84,0
2010-08-28,28,26,86,0.1
2010-08-29,27,12,89,0.4
2010-08-30,26,26,72,0.3
2010-08-31,26,10,66,0
2010-09-01,26,11,67,0
2010-09-02,27,13,75,0
2010-09-03,26,5,84,0.9
2010-09-04,28,12,75,0
2010-09-05,27,15,85,0.6
2010-09-06,27,10,89,0.4
2010-09-07,28,12,87,0.4
2010-09-08,25,20,91,6.3
2010-09-09,23,19,78,1.9
2010-09-10,24,14,82,11.7
2010-09-11,27,12,82,0
2010-09-12,26,12,74,0
2010-09-13,25,12,92,6.9
2010-09-14,25,15,84,3.5
2010-09-15,26,13,77,0
2010-09-16,26,19,89,0
2010-09-17,25,13,90,0
2010-09-18,26,14,83,12
2010-09-19,21,17,82,3.1
2010-09-20,25,6,84,0
2010-09-21,22,7,81,3.2
2010-09-22,23,11,82,6.3
2010-09-23,26,7,80,0.1
2010-09-24,24,9,82,6
2010-09-25,20,27,81,2.2
2010-09-26,18,22,84,2.4
2010-09-27,18,24,78,0.1
2010-09-28,20,19,78,0
2010-09-29,21,12,76,0
2010-09-30,22,13,85,0
2010-10-01,22,16,88,0.3
2010-10-02,22,8,87,0.2
2010-10-03,22,13,88,2.3
2010-10-04,25,17,93,8.7
2010-10-05,21,14,85,0.3
2010-10-06,22,7,86,0.3
2010-10-07,25,11,85,0
2010-10-08,24,13,80,4.4
2010-10-09,21,14,89,3.7
2010-10-10,21,22,91,17.1
2010-10-11,19,23,87,10.4
2010-10-12,21,22,89,10.2
2010-10-13,20,8,89,13.5
2010-10-14,20,10,88,5.7
2010-10-15,19,13,84,1.9
2010-10-16,17,15,88,1.5
2010-10-17,16,13,85,1.2
2010-10-18,16,11,83,4.6
2010-10-19,20,15,82,0
2010-10-20,17,40,78,0
2010-10-21,17,9,77,0
2010-10-22,19,9,82,0
2010-10-23,19,9,85,0
2010-10-24,19,17,86,0.3
2010-10-25,16,31,86,11.4
2010-10-26,16,23,85,9
2010-10-27,18,13,77,0
2010-10-28,19,9,82,0
2010-10-29,20,7,80,0
2010-10-30,20,15,81,5.4
2010-10-31,18,24,93,57
2010-11-01,17,14,88,20.8
2010-11-02,17,11,86,3.8
2010-11-03,18,8,85,1.1
2010-11-04,21,5,80,0
2010-11-05,22,6,74,0
2010-11-06,21,13,80,0
2010-11-07,18,14,93,20.3
2010-11-08,13,28,81,12.3
2010-11-09,16,17,78,8.1
2010-11-10,13,30,81,5.7
2010-11-11,13,19,72,0
2010-11-12,17,24,89,0.5
2010-11-13,19,12,83,0
2010-11-14,21,9,83,0
2010-11-15,20,14,88,1.5
2010-11-16,15,22,84,11.5
2010-11-17,15,11,79,1.4
2010-11-18,13,14,88,6
2010-11-19,14,14,77,0.6
2010-11-20,17,10,76,1.6
2010-11-21,15,15,92,25.9
2010-11-22,14,16,82,6.2
2010-11-23,12,29,79,1.4
2010-11-24,11,16,77,0.9
2010-11-25,13,22,67,2.3
2010-11-26,10,47,66,2.6
2010-11-27,12,9,57,0
2010-11-28,14,17,92,33.9
2010-11-29,11,19,62,3.4
2010-11-30,13,16,89,11.6
2010-12-01,12,19,85,20.3
2010-12-02,11,18,83,2.2
2010-12-03,10,13,78,2.9
2010-12-04,7,25,77,0.9
2010-12-05,12,14,71,0.1
2010-12-06,17,23,91,6
2010-12-07,18,18,96,1.9
2010-12-08,17,13,93,3
2010-12-09,16,28,94,0.5
2010-12-10,11,9,84,0
2010-12-11,14,12,79,0
2010-12-12,17,21,89,0
2010-12-13,11,13,85,0.7
2010-12-14,9,10,81,4
2010-12-15,8,16,69,0.8
2010-12-16,6,9,64,1
2010-12-17,12,36,89,22.5
2010-12-18,6,27,73,5.2
2010-12-19,12,17,83,8
2010-12-20,13,8,90,2.9
2010-12-21,15,15,90,4.4
